Row,Returning.visits
1409,453.464
1410,560.9041
1411,684.5738
1412,452.8517
1413,649.01904
1414,197.37463
1415,714.1804
1416,487.1021
1417,647.81995
1418,555.8258
1419,565.7
1420,619.12335
1421,742.6848
1422,522.1019
1423,759.8615
1424,488.58618
1425,414.95535
1426,569.55005
1427,271.7212
1428,541.3294
1429,456.72162
1430,488.63058
1431,247.48099
1432,386.1695
1433,533.5455
1434,479.99072
1435,310.44974
1436,674.15704
1437,606.81494
1438,345.29843
1439,626.9031
1440,458.24548
1441,430.96097
1442,231.91321
1443,589.74927
1444,556.98206
1445,241.96834
1446,282.03088
1447,440.02618
1448,287.617
1449,737.07587
1450,380.7153
1451,534.1691
1452,489.53497
1453,521.018
1454,423.86365
1455,437.76703
1456,545.5353
1457,602.7262
1458,617.3642
1459,493.92337
1460,526.4912
1461,418.7353
1462,527.4548
1463,778.3314
1464,525.69556
1465,634.15826
1466,731.3195
1467,547.5442
1468,271.4578
1469,583.0479
1470,319.0767
1471,619.2424
1472,543.2001
1473,458.8454
1474,308.56854
1475,528.09393
1476,420.94125
1477,421.49228
1478,641.3621
1479,659.8803
1480,446.32883
1481,405.19406
1482,278.4516
1483,340.5389
1484,332.63004
1485,715.25977
1486,175.7751
1487,396.11478
1488,420.24826
1489,278.38205
1490,532.6917
1491,652.0208
1492,693.9723
1493,470.133
1494,412.62967
1495,734.5755
1496,421.35602
1497,830.2652
1498,515.7811
1499,554.47614
1500,262.43225
1501,338.92575
1502,665.2028
1503,495.70123
1504,604.85986
1505,891.7291
1506,494.13992
1507,522.814
1508,315.07703
1509,537.0819
1510,313.90826
1511,460.13748
1512,652.7134
1513,669.7334
1514,698.19147
1515,211.46506
1516,483.66403
1517,434.49814
1518,701.0797
1519,541.74274
1520,371.2873
1521,245.34247
1522,451.38998
1523,490.564
1524,665.0426
1525,724.40247
1526,531.33984
1527,363.60898
1528,725.1015
1529,765.1929
1530,402.4264
1531,564.6792
1532,250.48602
1533,483.14948
1534,902.284
1535,461.40723
1536,750.9955
1537,500.71002
1538,636.59644
1539,445.78894
1540,599.90857
1541,755.4973
1542,232.19948
1543,526.1473
1544,401.86685
1545,696.0105
1546,192.39948
1547,246.04251
1548,206.52101
1549,468.15002
1550,456.82968
1551,588.5043
1552,461.8596
1553,674.35266
1554,507.7308
1555,418.70654
1556,523.1752
1557,252.79297
1558,517.1228
1559,647.6005
1560,393.14783
1561,249.97575
1562,359.61136
1563,492.95102
1564,453.16
1565,756.978
1566,401.76984
1567,514.3996
1568,350.4979
1569,402.3493
1570,449.59518
1571,602.43445
1572,663.93475
1573,460.90894
1574,701.6065
1575,715.314
1576,478.56253
1577,674.53
1578,620.0828
1579,203.37624
1580,439.09802
1581,442.8839
1582,466.0559
1583,250.40253
1584,533.2147
1585,611.3365
1586,385.9749
1587,688.0598
1588,755.3485
1589,673.1676
1590,791.8067
1591,455.8644
1592,416.86383
1593,483.46252
1594,605.54
1595,575.9742
1596,581.9811
1597,323.7895
1598,366.3363
1599,505.5959
1600,559.6287
1601,231.46799
1602,456.8477
1603,474.02817
1604,843.814
1605,405.07425
1606,340.9029
1607,400.3925
1608,760.91534
1609,401.46027
1610,394.1418
1611,478.7108
1612,536.0594
1613,549.4214
1614,205.4122
1615,196.68596
1616,828.92773
1617,646.61316
1618,501.8569
1619,323.49747
1620,257.03278
1621,439.34137
1622,366.44125
1623,544.3258
1624,403.73755
1625,534.4281
1626,616.269
1627,456.20584
1628,786.3563
1629,595.96576
1630,526.82513
1631,223.01608
1632,422.0185
1633,626.25366
1634,606.1964
1635,544.0949
1636,316.28976
1637,492.23947
1638,254.74242
1639,696.00525
1640,280.25186
1641,268.98615
1642,687.9621
1643,427.05896
1644,286.43597
1645,922.0434
1646,268.52713
1647,451.2181
1648,463.14273
1649,617.3772
1650,391.386
1651,517.70435
1652,786.5683
1653,485.41028
1654,757.0849
1655,554.4161
1656,484.55902
1657,735.009
1658,436.69162
1659,463.2824
1660,483.1022
1661,310.309
1662,501.63068
1663,214.44768
1664,772.5698
1665,675.8329
1666,399.08865
1667,392.81555
1668,578.2399
1669,425.0642
1670,406.55063
1671,196.70946
1672,303.20898
1673,184.37463
1674,852.91876
1675,450.29965
1676,497.4626
1677,437.5899
1678,496.21228
1679,448.29846
1680,462.3712
1681,678.80066
1682,335.83777
1683,544.3726
1684,436.3555
1685,707.18243
1686,733.8006
1687,594.85754
1688,801.80585
1689,670.5924
1690,478.20514
1691,641.2655
1692,627.08386
1693,509.3699
1694,463.9906
1695,381.51224
1696,341.27612
1697,692.4587
1698,354.60678
1699,441.72247
1700,358.49963
1701,428.16287
1702,543.9985
1703,596.2025
1704,275.41577
1705,395.86966
1706,275.96674
1707,470.42972
1708,521.2193
1709,831.3158
1710,475.97577
1711,220.25949
1712,688.4112
1713,708.78394
1714,555.1219
1715,534.4838
1716,300.8477
1717,635.75745
1718,777.9319
1719,583.51154
1720,685.92896
1721,451.51257
1722,415.4796
1723,458.0028
1724,399.589
1725,504.94644
1726,636.59644
1727,435.8439
1728,602.09644
1729,446.53937
1730,443.1741
1731,605.8634
1732,562.34564
1733,685.989
1734,259.1909
1735,692.5529
1736,559.0044
1737,482.37704
1738,682.00336
1739,358.03867
1740,426.74188
1741,527.8244
1742,423.81876
1743,460.41583
1744,267.00888
1745,348.88364
1746,486.57486
1747,495.04028
1748,414.92578
1749,320.2888
1750,332.49496
1751,394.73444
1752,588.2849
1753,832.18854
1754,719.5485
1755,664.7634
1756,521.6779
1757,523.09106
1758,435.74457
1759,518.26556
1760,745.7764
1761,351.50153
1762,176.27026
1763,642.09515
1764,605.9396
1765,518.46924
1766,275.3149
1767,635.5617
1768,413.09363
1769,397.18582
1770,581.27386
1771,304.054
1772,594.468
1773,576.1223
1774,457.47153
1775,640.36346
1776,725.93024
1777,555.5595
1778,399.37387
1779,567.6081
1780,562.0937
1781,756.42847
1782,658.15094
1783,417.09802
1784,232.42464
1785,334.5078
1786,616.9648
1787,381.0933
1788,281.10007
1789,393.07437
1790,463.63046
1791,513.2733
1792,558.4801
1793,790.64685
1794,711.91345
1795,583.3001
1796,400.47012
1797,498.3691
1798,549.2513
1799,598.5609
1800,305.027
1801,735.12317
1802,736.07855
1803,625.0504
1804,728.2948
1805,431.48456
1806,595.28784
1807,536.4565
1808,368.97906
1809,716.76746
1810,588.08435
1811,343.45596
1812,745.578
1813,699.79504
1814,526.66876
1815,557.5151
1816,714.85187
1817,350.77856
1818,588.01385
1819,649.0179
1820,636.2816
1821,359.7136
1822,527.57043
1823,235.14803
1824,712.93384
1825,530.39844
1826,458.93787
1827,279.77615
1828,589.38885
1829,547.3447
1830,557.5689
1831,619.0011
1832,579.1425
1833,900.73126
1834,366.239
1835,701.517
1836,257.0859
1837,538.23865
1838,287.08548
1839,280.05002
1840,887.91016
1841,784.9599
1842,514.79083
1843,334.8423
1844,215.8822
1845,343.15887
1846,378.7238
1847,670.5441
1848,307.27814
1849,356.57205
1850,618.6231
1851,509.28464
1852,490.57132
1853,787.5044
1854,559.51807
1855,943.18494
1856,776.8456
1857,258.76184
1858,600.82733
1859,539.8335
1860,482.56976
1861,540.46
1862,444.82248
1863,480.16663
1864,236.5309
1865,220.39209
1866,473.68637
1867,856.00854
1868,323.97958
1869,308.8123
1870,697.58636
1871,562.0399
1872,647.95886
1873,596.83203
1874,312.4058
1875,641.72095
1876,280.8282
1877,581.6612
1878,337.86377
1879,605.1764
1880,204.3452
1881,401.58334
1882,680.38556
1883,701.68024
1884,390.9066
1885,366.52612
1886,533.09454
1887,740.493
1888,442.53345
1889,184.88023
1890,275.4069
1891,471.83862
1892,670.76953
1893,264.74597
1894,177.25499
1895,530.8828
1896,381.67847
1897,395.10913
1898,739.47687
1899,524.81793
1900,227.0274
1901,607.0248
1902,557.381
1903,314.00272
1904,783.24194
1905,300.59424
1906,681.0073
1907,663.6941
1908,570.447
1909,365.66287
1910,706.34344
1911,672.99866
1912,223.26729
1913,357.73758
1914,523.5595
1915,439.13452
1916,635.0552
1917,856.9352
1918,211.85129
1919,357.8107
1920,540.513
1921,783.0176
1922,583.73676
1923,561.51306
1924,545.8312
1925,251.4529
1926,337.04733
1927,402.17368
1928,417.68625
1929,695.0021
1930,790.55096
1931,655.8068
1932,246.7129
1933,687.80396
1934,621.7598
1935,551.8044
1936,757.00287
1937,385.87726
1938,468.39697
1939,623.9456
1940,568.6023
1941,479.85083
1942,523.057
1943,948.84686
1944,483.6509
1945,646.89746
1946,397.10406
1947,399.79318
1948,289.0948
1949,535.483
1950,395.74384
1951,627.96783
1952,402.16705
1953,662.3195
1954,710.14886
1955,249.90625
1956,561.108
1957,532.64966
1958,744.2897
1959,649.43256
1960,683.2292
1961,274.22925
1962,684.63556
1963,337.70865
1964,571.3874
1965,480.99216
1966,623.16736
1967,449.6395
1968,522.8302
1969,356.84348
1970,291.06314
1971,806.1037
1972,520.6326
1973,480.56448
